market,symbol,quote_symbol,display_name,universe_tags
BIST,GLRYH,GLRYH.IS,GÜLER YATIRIM HOLDİNG A.Ş.,BIST
BIST,GLYHO,GLYHO.IS,GLOBAL YATIRIM HOLDİNG A.Ş.,BIST
BIST,GMTAS,GMTAS.IS,GİMAT MAĞAZACILIK SANAYİ VE TİCARET A.Ş.,BIST
BIST,GOKNR,GOKNR.IS,GÖKNUR GIDA MADDELERİ ENERJİ İMALAT İTHALAT İHRACAT TİCARET VE SANAYİ A.Ş.,BIST
BIST,GOLTS,GOLTS.IS,GÖLTAŞ GÖLLER BÖLGESİ ÇİMENTO SANAYİ VE TİCARET A.Ş.,BIST
BIST,GOODY,GOODY.IS,GOODYEAR LASTİKLERİ T.A.Ş.,BIST
BIST,GOZDE,GOZDE.IS,GÖZDE GİRİŞİM SERMAYESİ YATIRIM ORTAKLIĞI A.Ş.,BIST
BIST,GRNYO,GRNYO.IS,GARANTİ YATIRIM ORTAKLIĞI A.Ş.,BIST
BIST,GRSEL,GRSEL.IS,GÜR-SEL TURİZM TAŞIMACILIK VE SERVİS TİCARET A.Ş.,BIST
BIST,GSDDE,GSDDE.IS,GSD DENİZCİLİK GAYRİMENKUL İNŞAAT SANAYİ VE TİCARET A.Ş.,BIST
BIST,GSDHO,GSDHO.IS,GSD HOLDİNG A.Ş.,BIST
BIST,GUBRF,GUBRF.IS,GÜBRE FABRİKALARI T.A.Ş.,BIST
BIST,GWIND,GWIND.IS,GALATA WIND ENERJİ A.Ş.,BIST
BIST,GZNMI,GZNMI.IS,GEZİNOMİ SEYAHAT TURİZM TİCARET A.Ş.,BIST
BIST,HALKB,HALKB.IS,TÜRKİYE HALK BANKASI A.Ş.,BIST
BIST,HATEK,HATEK.IS,HATEKS HATAY TEKSTİL İŞLETMELERİ A.Ş.,BIST
BIST,HATSN,HATSN.IS,HAT-SAN GEMİ İNŞAA BAKIM ONARIM DENİZ NAKLİYAT SANAYİ VE TİCARET A.Ş.,BIST
BIST,HDFGS,HDFGS.IS,HEDEF GİRİŞİM SERMAYESİ YATIRIM ORTAKLIĞI A.Ş.,BIST
BIST,HEDEF,HEDEF.IS,HEDEF HOLDİNG A.Ş.,BIST
BIST,HEKTS,HEKTS.IS,HEKTAŞ TİCARET T.A.Ş.,BIST
BIST,HKTM,HKTM.IS,HİDROPAR HAREKET KONTROL TEKNOLOJİLERİ MERKEZİ SANAYİ VE TİCARET A.Ş.,BIST
BIST,HLGYO,HLGYO.IS,HALK GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,BIST
BIST,HTTBT,HTTBT.IS,HİTİT BİLGİSAYAR HİZMETLERİ A.Ş.,BIST
BIST,HUBVC,HUBVC.IS,HUB GİRİŞİM SERMAYESİ YATIRIM ORTAKLIĞI A.Ş.,BIST
BIST,HUNER,HUNER.IS,HUN YENİLENEBİLİR ENERJİ ÜRETİM A.Ş.,BIST
BIST,HURGZ,HURGZ.IS,HÜRRİYET GAZETECİLİK VE MATBAACILIK A.Ş.,BIST
BIST,ICBCT,ICBCT.IS,ICBC TURKEY BANK A.Ş.,BIST
BIST,ICUGS,ICUGS.IS,ICU GİRİŞİM SERMAYESİ YATIRIM ORTAKLIĞI A.Ş.,BIST
BIST,IDGYO,IDGYO.IS,İDEALİST GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,BIST
BIST,IEYHO,IEYHO.IS,IŞIKLAR ENERJİ VE YAPI HOLDİNG A.Ş.,BIST
BIST,IHAAS,IHAAS.IS,İHLAS HABER AJANSI A.Ş.,BIST
BIST,IHEVA,IHEVA.IS,İHLAS EV ALETLERİ İMALAT SANAYİ VE TİCARET A.Ş.,BIST
BIST,IHGZT,IHGZT.IS,İHLAS GAZETECİLİK A.Ş.,BIST
BIST,IHLAS,IHLAS.IS,İHLAS HOLDİNG A.Ş.,BIST
BIST,IHLGM,IHLGM.IS,İHLAS GAYRİMENKUL PROJE GELİŞTİRME VE TİCARET A.Ş.,BIST
BIST,IHYAY,IHYAY.IS,İHLAS YAYIN HOLDİNG A.Ş.,BIST
BIST,IMASM,IMASM.IS,İMAŞ MAKİNA SANAYİ A.Ş.,BIST
BIST,INDES,INDES.IS,İNDEKS BİLGİSAYAR SİSTEMLERİ MÜHENDİSLİK SANAYİ VE TİCARET A.Ş.,BIST
BIST,INFO,INFO.IS,İNFO YATIRIM MENKUL DEĞERLER A.Ş.,BIST
BIST,INGRM,INGRM.IS,INGRAM MİCRO BİLİŞİM SİSTEMLERİ A.Ş.,BIST
BIST,INTEM,INTEM.IS,İNTEMA İNŞAAT VE TESİSAT MALZEMELERİ YATIRIM VE PAZARLAMA A.Ş.,BIST
BIST,INVEO,INVEO.IS,INVEO YATIRIM HOLDİNG A.Ş.,BIST
BIST,INVES,INVES.IS,INVESTCO HOLDİNG A.Ş.,BIST
BIST,ISATR,ISATR.IS,TÜRKİYE İŞ BANKASI A.Ş.,BIST
BIST,ISBIR,ISBIR.IS,İŞBİR HOLDİNG A.Ş.,BIST
BIST,ISBTR,ISBTR.IS,TÜRKİYE İŞ BANKASI A.Ş.,BIST
BIST,ISCTR,ISCTR.IS,TÜRKİYE İŞ BANKASI A.Ş.,BIST
BIST,ISDMR,ISDMR.IS,İSKENDERUN DEMİR VE ÇELİK A.Ş.,BIST
BIST,ISFIN,ISFIN.IS,İŞ FİNANSAL KİRALAMA A.Ş.,BIST
BIST,ISGSY,ISGSY.IS,İŞ GİRİŞİM SERMAYESİ YATIRIM ORTAKLIĞI A.Ş.,BIST
