quote_symbol,display_name_quote,last,change,change_percent,volume,open,high,low,prev_close,currency,exchange_name,exchange_code,market_state,market_time
BOP,,45.838243,-0.021349999999998204,-0.046555144961705625,,,,,45.859593,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
BOS,,1.489417,0.018345000000000056,1.2470497705074977,,,,,1.471072,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
BP5,,1.571333,0.009820000000000162,0.6288772491807729,,,,,1.561513,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
BPD,,49.399487,0.04091799999999779,0.08289948600413798,,,,,49.358569,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
BPZ,,1.379791,0.0027559999999999807,0.20014015620517855,,,,,1.377035,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
BRB,,1.467764,0.040280000000000094,2.8217479145125335,,,,,1.427484,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
BRC,,1.208897,4.2000000000097515e-05,0.0034743621029898137,,,,,1.208855,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
BRF,,1.472119,-0.005935000000000024,-0.40154148630564396,,,,,1.478054,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
BRG,,4.50972,0.008773999999999837,0.19493679773096229,,,,,4.500946,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
BRH,,5.581129,0.038718999999999504,0.698595015525728,,,,,5.54241,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
BRR,,1.462649,0.002607000000000026,0.1785565072785595,,,,,1.460042,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
BRT,,1.295625,-0.0003269999999999662,-0.025232416015405372,,,,,1.295952,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
BRZ,,51.044234,-0.013040999999994085,-0.025541903675811304,,,,,51.057275,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
BS1,,1.134882,-0.00378999999999996,-0.33284387426756434,,,,,1.138672,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
BSA,,0.421827,-0.0008489999999999887,-0.20086307242426554,,,,,0.422676,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
BSD,,1.105272,-0.0011099999999999444,-0.10032701182773619,,,,,1.106382,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
BSE,,0.789716,-0.04903999999999997,-5.846754002355866,,,,,0.838756,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
BSF,,1.354124,-0.01117799999999991,-0.8187199608584701,,,,,1.365302,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
BSH,,1.101388,-0.016005999999999965,-1.4324401240744058,,,,,1.117394,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
BSM,,1.4553,0.00622199999999995,0.42937647248801997,,,,,1.449078,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
BSN,,1.443742,-0.0232969999999999,-1.5880286754476125,,,,,1.467039,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
BST,,10.090842,-0.012762000000000384,-0.126311363747039,,,,,10.103604,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
BTE,,4.003248,-0.012724999999999653,-0.31685970000295455,,,,,4.015973,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
BTJ,,1.245643,0.005489000000000077,0.4426063214729846,,,,,1.240154,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
BTK,,1.290818,0.0016380000000000283,0.12705750942459768,,,,,1.28918,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
